1,0.115 ns/op
2,0.0970 ns/op
3,0.0852 ns/op
4,0.100 ns/op
5,0.123 ns/op
6,0.102 ns/op
7,0.0933 ns/op
8,0.0908 ns/op
9,0.0964 ns/op
10,0.109 ns/op
11,0.0969 ns/op
12,0.107 ns/op
13,0.105 ns/op
14,0.0751 ns/op
15,0.106 ns/op
16,0.0966 ns/op

